[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 8
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 8

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 11
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 11

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 13
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 13

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 6
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 6

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 5
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 5

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 6
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 6

[ENTER] NodeID: Node2, IP: 10.100.54.208, Clock: 8
[EXIT]  NodeID: Node2, IP: 10.100.54.208, Clock: 8

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 10
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 10

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 18
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 18

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 23
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 23

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 27
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 27

[ENTER] NodeID: Node2, IP: 10.100.54.208, Clock: 29
[EXIT]  NodeID: Node2, IP: 10.100.54.208, Clock: 29

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 31
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 31

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 36
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 36

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 39
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 39

[ENTER] NodeID: Node2, IP: 10.100.54.208, Clock: 41
[EXIT]  NodeID: Node2, IP: 10.100.54.208, Clock: 41

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 44
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 44

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 49
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 49

[ENTER] NodeID: Node2, IP: 10.100.54.208, Clock: 53
[EXIT]  NodeID: Node2, IP: 10.100.54.208, Clock: 53

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 56
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 56

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 61
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 61

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 65
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 65

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 68
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 68

[ENTER] NodeID: Node2, IP: 10.100.54.208, Clock: 72
[EXIT]  NodeID: Node2, IP: 10.100.54.208, Clock: 72

[ENTER] NodeID: Node3, IP: 10.100.53.8, Clock: 76
[EXIT]  NodeID: Node3, IP: 10.100.53.8, Clock: 76

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 81
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 81

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 84
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 84

